ISSN,Título,Estrato
1073-449X,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,A1
1476-1645,AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGINE,A2
0939-4451,AMINO ACIDS (WIEN. PRINT),A3
1075-9964,ANAEROBE (LONDON. PRINT),A4
1365-2044,ANAESTHESIA,A1
0003-2409,ANAESTHESIA (LONDON. PRINT),A1
0365-0596,ANAIS BRASILEIROS DE DERMATOLOGIA (IMPRESSO),A2
0001-3765,ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (IMPRESSO),A3
1678-2690,ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (ONLINE),A3
0340-2096,"ANATOMIA, HISTOLOGIA, EMBRYOLOGIA",A3
1935-9772,ANATOMICAL SCIENCES EDUCATION,A1
2047-2919,ANDROLOGY-US,A1
1836-0939,ANIMAL PRODUCTION SCIENCE (PRINT),A2
1984-3143,ANIMAL REPRODUCTION,A2
2076-2615,ANIMALS,A1
0940-9602,ANNALS OF ANATOMY,A2
1013-9087,ANNALS OF DERMATOLOGY,B1
1092-9134,ANNALS OF DIAGNOSTIC PATHOLOGY (PRINT),A3
1108-7471,ANNALS OF GASTROENTEROLOGY,A4
2214-9996,ANNALS OF GLOBAL HEALTH,A2
2231-0746,ANNALS OF MAXILLOFACIAL SURGERY,B1
2049-0801,ANNALS OF MEDICINE AND SURGERY,A3
0785-3890,ANNALS OF MEDICINE (HELSINKI),A1
1569-8041,ANNALS OF ONCOLOGY,A1
2224-5820,ANNALS OF PALLIATIVE MEDICINE,A3
2373-9312,ANNALS OF PEDIATRICS & CHILD HEALTH,B4
1440-1754,ANNALS OF PEDIATRICS AND CHILD HEALTH,A4
1536-3708,ANNALS OF PLASTIC SURGERY (ONLINE),A4
0148-7043,ANNALS OF PLASTIC SURGERY (PRINT),A4
2581-480X,ANNALS OF PROSTHODONTICS AND RESTORATIVE DENTISTRY,C
2305-5839,ANNALS OF TRANSLATIONAL MEDICINE,A1
2083-4594,ANTHROPOLOGICAL REVIEW,B2
2079-6382,ANTIBIOTICS-BASEL,A1
2073-4468,ANTIBODIES,A3
0250-7005,ANTICANCER RESEARCH,B1
2047-2994,ANTIMICROBIAL RESISTANCE AND INFECTION CONTROL,A1
2732-494X,ANTIMICROBIAL STEWARDSHIP & HEALTHCARE EPIDEMIOLOGY,B3
2076-3921,ANTIOXIDANTS,A1
0166-3542,ANTIVIRAL RESEARCH,A1
0518-0872,ANUARIO DE FILOSOFÍA DEL DERECHO,B1
1600-0463,APMIS,A2
2321-1407,APOS TRENDS IN ORTHODONTICS,B1
0195-6663,APPETITE (LONDON. PRINT),A1
2813-0464,APPLIED BIOSCIENCES,C
1541-2016,APPLIED IMMUNOHISTOCHEMISTRY & MOLECULAR MORPHOLOGY (PRINT),A4
2673-3161,APPLIED MECHANICS (ONLINE),A4
